# time,Ca_macrophage
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.144832142021741772e-03
2.000000000000000111e-01,1.496918113942875134e-02
3.000000000000000444e-01,3.564864846822470706e-02
4.000000000000000222e-01,6.395038504803134127e-02
5.000000000000000000e-01,9.827404524658918394e-02
6.000000000000000888e-01,1.370144641178892564e-01
7.000000000000000666e-01,1.787138616639319111e-01
8.000000000000000444e-01,2.221198469028182187e-01
9.000000000000000222e-01,2.661970581173656036e-01
1.000000000000000000e+00,3.101158894420834589e-01
1.100000000000000089e+00,3.532307052061515185e-01
1.200000000000000178e+00,3.950543039998532513e-01
1.300000000000000044e+00,4.352323095102098582e-01
1.400000000000000133e+00,4.735193284436114980e-01
1.500000000000000000e+00,5.097577431445379226e-01
1.600000000000000089e+00,5.438594130441061214e-01
1.700000000000000178e+00,5.757902333398824402e-01
1.800000000000000044e+00,6.055573269993140828e-01
1.900000000000000133e+00,6.331985765380198083e-01
2.000000000000000000e+00,6.587741811285049431e-01
2.100000000000000089e+00,6.823599295691024080e-01
2.200000000000000178e+00,7.040419056727279523e-01
2.300000000000000266e+00,7.239123740291664166e-01
2.400000000000000355e+00,7.420666335312582351e-01
2.500000000000000000e+00,7.586006352299569100e-01
2.600000000000000089e+00,7.736092341662478278e-01
2.700000000000000178e+00,7.871849249839359963e-01
2.800000000000000266e+00,7.994169653810190290e-01
2.900000000000000355e+00,8.103907982569350521e-01
3.000000000000000000e+00,8.201877025820220046e-01
3.100000000000000089e+00,8.288846181310761674e-01
3.200000000000000178e+00,8.365540987764369385e-01
3.300000000000000266e+00,8.432643601186559090e-01
3.400000000000000355e+00,8.490793936879965642e-01
3.500000000000000000e+00,8.540591266912090918e-01
3.600000000000000089e+00,8.582596110731309791e-01
3.700000000000000178e+00,8.617332293953784417e-01
3.800000000000000266e+00,8.645289094054339207e-01
3.900000000000000355e+00,8.666923386485799741e-01
4.000000000000000000e+00,8.682661756555365429e-01
4.100000000000000533e+00,8.692902549565522108e-01
4.200000000000000178e+00,8.698017820051425764e-01
4.299999999999999822e+00,8.698355179455050656e-01
4.400000000000000355e+00,8.694239532100337398e-01
4.500000000000000000e+00,8.685974694917160122e-01
4.600000000000000533e+00,8.673844903317273758e-01
4.700000000000000178e+00,8.658116207126337338e-01
4.800000000000000711e+00,8.639037761090765377e-01
4.900000000000000355e+00,8.616843015286832497e-01
5.000000000000000000e+00,8.591750812220476652e-01
5.100000000000000533e+00,8.563966397956563892e-01
5.200000000000000178e+00,8.533682352584663899e-01
5.300000000000000711e+00,8.501079446818773366e-01
5.400000000000000355e+00,8.466327431454397923e-01
5.500000000000000000e+00,8.429585765244888007e-01
5.600000000000000533e+00,8.391004286654187849e-01
5.700000000000000178e+00,8.350723833478422842e-01
5.800000000000000711e+00,8.308876815820240846e-01
5.900000000000000355e+00,8.265587747105908045e-01
6.000000000000000000e+00,8.220973735662305826e-01
6.100000000000000533e+00,8.175144941205164661e-01
6.200000000000000178e+00,8.128204998700705453e-01
6.300000000000000711e+00,8.080251412872808681e-01
6.400000000000000355e+00,8.031375925876789168e-01
6.500000000000000000e+00,7.981664859514228105e-01
6.600000000000000533e+00,7.931199435923033114e-01
6.700000000000000178e+00,7.880056076260710807e-01
6.800000000000000711e+00,7.828306680557926001e-01
6.900000000000000355e+00,7.776018890221372271e-01
7.000000000000000000e+00,7.723256333473572655e-01
7.100000000000000533e+00,7.670078855858106781e-01
7.200000000000000178e+00,7.616542736761997556e-01
7.300000000000000711e+00,7.562700892823870369e-01
7.400000000000000355e+00,7.508603068932007130e-01
7.500000000000000000e+00,7.454296017989556766e-01
7.600000000000000533e+00,7.399823670157185118e-01
7.700000000000000178e+00,7.345227292112411766e-01
7.800000000000000711e+00,7.290545637267342727e-01
7.900000000000000355e+00,7.235815085781827083e-01
8.000000000000000000e+00,7.181069779507849304e-01
8.099999999999999645e+00,7.126341745803773664e-01
8.200000000000001066e+00,7.071661017331453136e-01
8.300000000000000711e+00,7.017055741834928861e-01
8.400000000000000355e+00,6.962552289308256981e-01
8.500000000000000000e+00,6.908175349298291135e-01
8.599999999999999645e+00,6.853948025986115189e-01
8.700000000000001066e+00,6.799891925005943083e-01
8.800000000000000711e+00,6.746027238412637406e-01
8.900000000000000355e+00,6.692372820880512219e-01
9.000000000000000000e+00,6.638946267030140236e-01
9.099999999999999645e+00,6.585763978407664920e-01
9.200000000000001066e+00,6.532841231105468438e-01
9.300000000000000711e+00,6.480192237836539526e-01
9.400000000000000355e+00,6.427830206647587863e-01
9.500000000000000000e+00,6.375767396992040315e-01
9.600000000000001421e+00,6.324015170808867659e-01
9.700000000000001066e+00,6.272584043380271535e-01
9.800000000000000711e+00,6.221483729685696185e-01
9.900000000000000355e+00,6.170723187864143311e-01
1.000000000000000000e+01,6.120310661336922919e-01
1.010000000000000142e+01,6.070253719746777632e-01
1.020000000000000107e+01,6.020559293243270549e-01
1.030000000000000071e+01,5.971233710315305698e-01
1.040000000000000036e+01,5.922282728142107544e-01
1.050000000000000000e+01,5.873711567628849828e-01
1.060000000000000142e+01,5.825524939117937562e-01
1.070000000000000107e+01,5.777727073956177017e-01
1.080000000000000071e+01,5.730321748372064761e-01
1.090000000000000036e+01,5.683312310050622207e-01
1.100000000000000000e+01,5.636701701602495618e-01
1.110000000000000142e+01,5.590492482511534300e-01
1.120000000000000107e+01,5.544686850210621687e-01
1.130000000000000071e+01,5.499286661261570952e-01
1.140000000000000036e+01,5.454293449451754761e-01
1.150000000000000000e+01,5.409708444137264483e-01
1.160000000000000142e+01,5.365532587131471853e-01
1.170000000000000107e+01,5.321766548883503090e-01
1.180000000000000071e+01,5.278410743956265527e-01
1.190000000000000036e+01,5.235465345261203218e-01
1.200000000000000000e+01,5.192930297749317470e-01
1.210000000000000142e+01,5.150805332254267954e-01
1.220000000000000107e+01,5.109089976428971003e-01
1.230000000000000071e+01,5.067783567633624697e-01
1.240000000000000036e+01,5.026885263497785639e-01
1.250000000000000000e+01,4.986394052499229512e-01
1.260000000000000142e+01,4.946308764327085328e-01
1.270000000000000107e+01,4.906628078701603668e-01
1.280000000000000071e+01,4.867350535199410078e-01
1.290000000000000036e+01,4.828474541033367928e-01
1.300000000000000000e+01,4.789998379336262713e-01
1.310000000000000142e+01,4.751920217299150373e-01
1.320000000000000107e+01,4.714238114900546339e-01
1.330000000000000071e+01,4.676950029167372680e-01
1.340000000000000036e+01,4.640053820850383870e-01
1.350000000000000000e+01,4.603547260633624738e-01
1.360000000000000142e+01,4.567428038887179631e-01
1.370000000000000107e+01,4.531693768089573582e-01
1.380000000000000071e+01,4.496341987770634541e-01
1.390000000000000036e+01,4.461370172238462439e-01
1.400000000000000000e+01,4.426775733576320815e-01
1.410000000000000142e+01,4.392556026431680971e-01
1.420000000000000107e+01,4.358708352715849887e-01
1.430000000000000071e+01,4.325229965298852952e-01
1.440000000000000036e+01,4.292118072361413295e-01
1.450000000000000000e+01,4.259369842112666338e-01
1.460000000000000142e+01,4.226982405278400523e-01
1.470000000000000107e+01,4.194952858881423885e-01
1.480000000000000071e+01,4.163278269484317340e-01
1.490000000000000036e+01,4.131955676167802238e-01
1.500000000000000000e+01,4.100982093707266074e-01
1.510000000000000142e+01,4.070354515345889768e-01
1.520000000000000107e+01,4.040069915185639515e-01
1.530000000000000071e+01,4.010125251186637541e-01
1.540000000000000036e+01,3.980517467381707863e-01
1.550000000000000000e+01,3.951243496052688209e-01
1.560000000000000142e+01,3.922300260048533493e-01
1.570000000000000107e+01,3.893684674708655091e-01
1.580000000000000071e+01,3.865393649848775093e-01
1.590000000000000036e+01,3.837424091878943178e-01
1.600000000000000000e+01,3.809772905259358744e-01
1.610000000000000142e+01,3.782436994297251887e-01
1.619999999999999929e+01,3.755413264821170771e-01
1.630000000000000071e+01,3.728698625508422571e-01
1.640000000000000213e+01,3.702289989445889939e-01
1.650000000000000000e+01,3.676184275459611350e-01
1.660000000000000142e+01,3.650378409311061945e-01
1.669999999999999929e+01,3.624869324963172490e-01
1.680000000000000071e+01,3.599653965855177384e-01
1.690000000000000213e+01,3.574729285721605643e-01
1.700000000000000000e+01,3.550092249835258285e-01
1.710000000000000142e+01,3.525739835811383394e-01
1.719999999999999929e+01,3.501669034537159275e-01
1.730000000000000071e+01,3.477876851093617550e-01
1.740000000000000213e+01,3.454360305676409393e-01
1.750000000000000000e+01,3.431116434229469214e-01
1.760000000000000142e+01,3.408142288743991055e-01
1.769999999999999929e+01,3.385434938746429978e-01
1.780000000000000071e+01,3.362991471403827815e-01
1.790000000000000213e+01,3.340808991759319224e-01
1.800000000000000000e+01,3.318884624175549858e-01
1.810000000000000142e+01,3.297215512176573382e-01
1.819999999999999929e+01,3.275798818904094301e-01
1.830000000000000071e+01,3.254631728153625225e-01
1.840000000000000213e+01,3.233711444089669151e-01
1.850000000000000000e+01,3.213035191836398630e-01
1.860000000000000142e+01,3.192600218189828865e-01
1.869999999999999929e+01,3.172403791074402402e-01
1.880000000000000071e+01,3.152443200620174135e-01
1.890000000000000213e+01,3.132715759688060597e-01
1.900000000000000000e+01,3.113218804062968248e-01
1.910000000000000142e+01,3.093949690904237992e-01
1.920000000000000284e+01,3.074905800125328215e-01
1.930000000000000071e+01,3.056084535452612827e-01
1.940000000000000213e+01,3.037483324152251973e-01
1.950000000000000000e+01,3.019099616037504985e-01
1.960000000000000142e+01,3.000930883966121954e-01
1.970000000000000284e+01,2.982974625019961246e-01
1.980000000000000071e+01,2.965228360171725530e-01
1.990000000000000213e+01,2.947689633700807943e-01
2.000000000000000000e+01,2.930356013098576740e-01
2.010000000000000142e+01,2.913225090274172979e-01
2.020000000000000284e+01,2.896294481188667058e-01
2.030000000000000071e+01,2.879561825329908231e-01
2.040000000000000213e+01,2.863024785099452241e-01
2.050000000000000000e+01,2.846681047312527024e-01
2.060000000000000142e+01,2.830528322672635766e-01
2.070000000000000284e+01,2.814564345497837516e-01
2.080000000000000071e+01,2.798786873099102790e-01
2.090000000000000213e+01,2.783193686776130882e-01
2.100000000000000000e+01,2.767782591473830767e-01
2.110000000000000142e+01,2.752551415579985172e-01
2.120000000000000284e+01,2.737498010294026063e-01
2.130000000000000071e+01,2.722620250365556660e-01
2.140000000000000213e+01,2.707916033838038139e-01
2.150000000000000000e+01,2.693383281844582422e-01
2.160000000000000142e+01,2.679019937859482559e-01
2.170000000000000284e+01,2.664823968366208384e-01
2.180000000000000071e+01,2.650793362642061002e-01
2.190000000000000213e+01,2.636926132528821243e-01
2.200000000000000000e+01,2.623220312010708377e-01
2.210000000000000142e+01,2.609673957289775914e-01
2.220000000000000284e+01,2.596285146854675485e-01
2.230000000000000071e+01,2.583051981198549174e-01
2.240000000000000213e+01,2.569972582372452297e-01
2.250000000000000000e+01,2.557045094108099104e-01
2.260000000000000142e+01,2.544267681721361085e-01
2.270000000000000284e+01,2.531638531874005893e-01
2.280000000000000071e+01,2.519155852400948858e-01
2.290000000000000213e+01,2.506817871964816535e-01
2.300000000000000000e+01,2.494622839935937975e-01
2.310000000000000142e+01,2.482569026269567380e-01
2.320000000000000284e+01,2.470654721224448958e-01
2.330000000000000071e+01,2.458878235130080858e-01
2.340000000000000213e+01,2.447237898808105883e-01
2.350000000000000000e+01,2.435732063399160541e-01
2.360000000000000142e+01,2.424359099387107253e-01
2.370000000000000284e+01,2.413117396800747716e-01
2.380000000000000071e+01,2.402005365024336148e-01
2.390000000000000213e+01,2.391021432690725035e-01
2.400000000000000000e+01,2.380164047572241592e-01
2.410000000000000142e+01,2.369431676204874770e-01
2.420000000000000284e+01,2.358822803781691901e-01
2.430000000000000071e+01,2.348335933968014044e-01
2.440000000000000213e+01,2.337969588581838565e-01
2.450000000000000000e+01,2.327722307094796383e-01
2.460000000000000142e+01,2.317592646898291586e-01
2.470000000000000284e+01,2.307579182912396221e-01
2.480000000000000071e+01,2.297680507338630274e-01
2.490000000000000213e+01,2.287895229653736928e-01
2.500000000000000000e+01,2.278221977428017131e-01
2.510000000000000142e+01,2.268659394812981012e-01
2.520000000000000284e+01,2.259206142717444243e-01
2.530000000000000071e+01,2.249860898752432392e-01
2.540000000000000213e+01,2.240622357025994493e-01
2.550000000000000000e+01,2.231489227487271909e-01
2.560000000000000142e+01,2.222460236287227830e-01
2.570000000000000284e+01,2.213534125557796162e-01
2.580000000000000071e+01,2.204709653156373128e-01
2.590000000000000213e+01,2.195985592457941338e-01
2.600000000000000000e+01,2.187360731422256233e-01
2.610000000000000142e+01,2.178833872528731230e-01
2.620000000000000284e+01,2.170403833160611529e-01
2.630000000000000071e+01,2.162069447105804121e-01
2.640000000000000213e+01,2.153829562976889433e-01
2.650000000000000000e+01,2.145683043309234983e-01
2.660000000000000142e+01,2.137628764206987719e-01
2.670000000000000284e+01,2.129665615991269967e-01
2.680000000000000071e+01,2.121792503145615572e-01
2.690000000000000213e+01,2.114008343779456012e-01
2.700000000000000000e+01,2.106312069606448567e-01
2.710000000000000142e+01,2.098702626002031113e-01
2.720000000000000284e+01,2.091178971545422371e-01
2.730000000000000071e+01,2.083740078094961923e-01
2.740000000000000213e+01,2.076384929813214208e-01
2.750000000000000000e+01,2.069112523991775976e-01
2.760000000000000142e+01,2.061921870569675963e-01
2.770000000000000284e+01,2.054811991938546023e-01
2.780000000000000071e+01,2.047781922715443959e-01
2.790000000000000213e+01,2.040830709708012503e-01
2.800000000000000000e+01,2.033957412130370512e-01
2.810000000000000142e+01,2.027161100439889008e-01
2.820000000000000284e+01,2.020440857047893501e-01
2.830000000000000071e+01,2.013795776227433332e-01
2.840000000000000213e+01,2.007224962999371309e-01
2.850000000000000000e+01,2.000727534231577509e-01
2.860000000000000142e+01,1.994302617807711120e-01
2.870000000000000284e+01,1.987949352217224797e-01
2.880000000000000071e+01,1.981666887409942179e-01
2.890000000000000213e+01,1.975454383413595416e-01
2.900000000000000000e+01,1.969311011041325610e-01
2.910000000000000142e+01,1.963235952178328247e-01
2.920000000000000284e+01,1.957228398342119036e-01
2.930000000000000071e+01,1.951287550956406491e-01
2.940000000000000213e+01,1.945412622296693872e-01
2.950000000000000000e+01,1.939602834262258990e-01
2.960000000000000142e+01,1.933857417888176500e-01
2.970000000000000284e+01,1.928175614728090126e-01
2.980000000000000071e+01,1.922556675845232266e-01
